DBpedia_URI15,rating
http://dbpedia.org/resource/Harare,75
http://dbpedia.org/resource/Bratislava,74.5
http://dbpedia.org/resource/Colombo,74
http://dbpedia.org/resource/Ulsan,74
http://dbpedia.org/resource/Sofia,74
http://dbpedia.org/resource/Cairo,74
http://dbpedia.org/resource/Caracas,73.5
http://dbpedia.org/resource/Guayaquil,73
http://dbpedia.org/resource/Casablanca,73
http://dbpedia.org/resource/Manama,71.5
http://dbpedia.org/resource/Zagreb,71
http://dbpedia.org/resource/Bogot?,71
http://dbpedia.org/resource/Nassau,71
http://dbpedia.org/resource/Amman,70.5
http://dbpedia.org/resource/Kuwait_City,69.5
http://dbpedia.org/resource/Mexico_City,69.5
http://dbpedia.org/resource/Kingston,69
http://dbpedia.org/resource/Accra,69
http://dbpedia.org/resource/Manaus,68.5
http://dbpedia.org/resource/Rayong,67.5
http://dbpedia.org/resource/Shanghai,67
http://dbpedia.org/resource/Guatemala_City,66.5
http://dbpedia.org/resource/Blantyre,66.5
http://dbpedia.org/resource/La_Paz,66
http://dbpedia.org/resource/Beijing,65.5
http://dbpedia.org/resource/Medell?n,65.5
http://dbpedia.org/resource/Nairobi,64.5
http://dbpedia.org/resource/Jakarta,64
http://dbpedia.org/resource/Guangzhou,63.5
http://dbpedia.org/resource/Lusaka,63.5
http://dbpedia.org/resource/Libreville,63
http://dbpedia.org/resource/Abidjan,63
http://dbpedia.org/resource/Santa_Cruz,62.5
http://dbpedia.org/resource/Islamabad,62.5
http://dbpedia.org/resource/Riyadh,62
http://dbpedia.org/resource/Jeddah,62
http://dbpedia.org/resource/Dakar,62
http://dbpedia.org/resource/Nanjing,62
http://dbpedia.org/resource/Ho_Chi_Minh_City,61.5
http://dbpedia.org/resource/Vientiane,61
http://dbpedia.org/resource/Beirut,61
http://dbpedia.org/resource/Kiev,58.5
http://dbpedia.org/resource/Skopje,58
http://dbpedia.org/resource/Saint_Petersburg,58
http://dbpedia.org/resource/Moscow,57.5
http://dbpedia.org/resource/Shenyang,57
http://dbpedia.org/resource/Mumbai,56
http://dbpedia.org/resource/Lahore,55.5
http://dbpedia.org/resource/Karachi,55.5
http://dbpedia.org/resource/Damascus,55.5
http://dbpedia.org/resource/Tehran,55
http://dbpedia.org/resource/Managua,54.5
http://dbpedia.org/resource/Bangalore,54
http://dbpedia.org/resource/Djibouti,54
http://dbpedia.org/resource/Hanoi,53.5
http://dbpedia.org/resource/San_Salvador,53
http://dbpedia.org/resource/Jilin,52
http://dbpedia.org/resource/Chennai,50.5
http://dbpedia.org/resource/Tirana,49.5
http://dbpedia.org/resource/Minsk,49.5
http://dbpedia.org/resource/Yangon,49.5
http://dbpedia.org/resource/Yaound?,49.5
http://dbpedia.org/resource/Cotonou,49
http://dbpedia.org/resource/Novosibirsk,48.5
http://dbpedia.org/resource/Tripoli,48.5
http://dbpedia.org/resource/New_Delhi,48
http://dbpedia.org/resource/Kazan,47.5
http://dbpedia.org/resource/Port-au-Prince,47
http://dbpedia.org/resource/Dhaka,47
http://dbpedia.org/resource/Algiers,47
http://dbpedia.org/resource/Douala,46.5
http://dbpedia.org/resource/Almaty,46.5
http://dbpedia.org/resource/Havana,46
http://dbpedia.org/resource/Sarajevo,46
http://dbpedia.org/resource/Baku,44.5
http://dbpedia.org/resource/Tashkent,44.5
http://dbpedia.org/resource/Dar_es_Salaam,44
http://dbpedia.org/resource/Lome,42.5
http://dbpedia.org/resource/Maputo,42
http://dbpedia.org/resource/Antananarivo,42
http://dbpedia.org/resource/Conakry,41
http://dbpedia.org/resource/Lagos,40.5
http://dbpedia.org/resource/N'Djamena,40
http://dbpedia.org/resource/Sanaa,40
http://dbpedia.org/resource/Nouakchott,40
http://dbpedia.org/resource/Port_Harcourt,39.5
http://dbpedia.org/resource/Belgrade,39
http://dbpedia.org/resource/Niamey,38
http://dbpedia.org/resource/Bamako,37
http://dbpedia.org/resource/Kinshasa,37
http://dbpedia.org/resource/Ouagadougou,36.5
http://dbpedia.org/resource/Luanda,36
http://dbpedia.org/resource/Bangui,33.5
http://dbpedia.org/resource/Baghdad,33
http://dbpedia.org/resource/Khartoum,33
http://dbpedia.org/resource/Pointe-Noire,30.5
http://dbpedia.org/resource/Brazzaville,23
